cf_id,contact_id,company_name,description, goal , pledged ,outcome,backers_count,country,currency,launched_date,end_date,category_id,subcategory_id
1057,2034,"Wright, Brooks and Villarreal",Reverse-engineered bifurcated strategy," $6,600.00 "," $11,746.00 ",successful,131,US,USD,9/29/21,11/29/21,cat02,scat018
2655,4085,"Flores, Miller and Johnson",Horizontal context-sensitive knowledge user," $8,000.00 "," $11,493.00 ",successful,164,US,USD,3/3/21,5/22/21,cat03,scat09
202,3569,"Bridges, Freeman and Kim",Cross-group multi-state task-force," $2,900.00 "," $6,243.00 ",successful,201,US,USD,7/23/21,12/4/21,cat07,scat012
2025,3889,Anderson-Perez,Expanded 3rdgeneration strategy," $2,700.00 "," $6,132.00 ",successful,211,US,USD,2/9/21,6/11/21,cat04,scat04
2395,3136,"Wright, Fox and Marks",Assimilated real-time support," $1,400.00 "," $3,851.00 ",successful,128,US,USD,12/10/20,3/7/21,cat04,scat04
1418,2103,Crawford-Peters,User-centric regional database," $94,200.00 "," $135,997.00 ",successful,1600,CA,CAD,10/20/20,8/24/21,cat04,scat04
1905,2329,Romero-Hoffman,Open-source zero administration complexity," $199,200.00 "," $184,750.00 ",failed,2253,CA,CAD,6/15/21,10/26/21,cat04,scat04
1969,3325,Sparks-West,Organized incremental standardization," $2,000.00 "," $14,452.00 ",successful,249,US,USD,8/19/21,11/21/21,cat03,scat03
2430,3131,"Baker, Morgan and Brown",Assimilated didactic open system," $4,700.00 ", $557.00 ,failed,5,US,USD,6/25/21,7/16/21,cat04,scat04
1291,4995,Mosley-Gilbert,Vision-oriented logistical intranet," $2,800.00 "," $2,734.00 ",failed,38,US,USD,5/21/21,9/23/21,cat03,scat03
1934,3631,Berry-Boyer,Mandatory incremental projection," $6,100.00 "," $14,405.00 ",successful,236,US,USD,2/23/21,11/20/21,cat04,scat04
1225,5373,Sanders-Allen,Grass-roots needs-based encryption," $2,900.00 "," $1,307.00 ",failed,12,US,USD,10/5/21,11/6/21,cat04,scat04
1363,3126,Lopez Inc,Team-oriented 6thgeneration middleware," $72,600.00 "," $117,892.00 ",successful,4065,GB,GBP,11/3/20,9/24/21,cat03,scat09
963,2194,Moreno-Turner,Inverse multi-tasking installation," $5,700.00 "," $14,508.00 ",successful,246,IT,EUR,8/10/20,2/7/21,cat04,scat04
1486,2906,Jones-Watson,Switchable disintermediate moderator," $7,900.00 "," $1,901.00 ",canceled,17,US,USD,6/27/21,1/17/22,cat04,scat04
676,2611,Barker Inc,Re-engineered 24/7 task-force," $128,000.00 "," $158,389.00 ",successful,2475,IT,EUR,8/8/21,1/30/22,cat04,scat04
2137,2374,"Tate, Bass and House",Organic object-oriented budgetary management," $6,000.00 "," $6,484.00 ",successful,76,US,USD,3/19/21,6/5/21,cat04,scat04
2656,3254,"Hampton, Lewis and Ray",Seamless coherent parallelism, $600.00 ," $4,022.00 ",successful,54,US,USD,7/27/21,11/30/21,cat05,scat011
1556,3571,Collins-Goodman,Cross-platform even-keeled initiative," $1,400.00 "," $9,253.00 ",successful,88,US,USD,5/11/20,3/9/21,cat02,scat018
747,2812,Davis-Michael,Progressive tertiary framework," $3,900.00 "," $4,776.00 ",successful,85,GB,GBP,6/29/21,8/27/21,cat02,scat017
60,3961,"White, Torres and Bishop",Multi-layered dynamic protocol," $9,700.00 "," $14,606.00 ",successful,170,US,USD,2/25/21,3/31/21,cat08,scat015
2459,3872,"Martin, Conway and Larsen",Horizontal next generation function," $122,900.00 "," $95,993.00 ",failed,1684,US,USD,12/13/20,12/26/21,cat04,scat04
1903,4736,Acevedo-Huffman,Pre-emptive impactful model," $9,500.00 "," $4,460.00 ",failed,56,US,USD,6/17/21,8/27/21,cat05,scat011
2003,5119,"Montgomery, Larson and Spencer",User-centric bifurcated knowledge user," $4,500.00 "," $13,536.00 ",successful,330,US,USD,12/24/20,4/16/21,cat06,scat019
2885,5725,Soto LLC,Triple-buffered reciprocal project," $57,800.00 "," $40,228.00 ",failed,838,US,USD,6/13/21,11/18/21,cat04,scat04
2067,4037,"Sutton, Barrett and Tucker",Cross-platform needs-based approach," $1,100.00 "," $7,012.00 ",successful,127,US,USD,6/26/21,10/21/21,cat07,scat012
1610,2109,"Gomez, Bailey and Flores",User-friendly static contingency," $16,800.00 "," $37,857.00 ",successful,411,US,USD,11/1/20,3/4/21,cat02,scat02
2909,3283,Porter-George,Reactive content-based framework," $1,000.00 "," $14,973.00 ",successful,180,GB,GBP,10/9/20,11/11/21,cat07,scat012
1239,6181,Fitzgerald PLC,Realigned user-facing concept," $106,400.00 "," $39,996.00 ",failed,1000,US,USD,6/25/21,8/8/21,cat02,scat06
2480,3251,Cisneros-Burton,Public-key zero tolerance orchestration," $31,400.00 "," $41,564.00 ",successful,374,US,USD,7/3/21,10/5/21,cat03,scat09
2181,3443,"Hill, Lawson and Wilkinson",Multi-tiered eco-centric architecture," $4,900.00 "," $6,430.00 ",successful,71,AU,AUD,5/29/21,8/20/21,cat02,scat08
2030,2988,Davis-Smith,Organic motivating firmware," $7,400.00 "," $12,405.00 ",successful,203,US,USD,5/16/21,9/12/21,cat04,scat04
2311,1673,Farrell and Sons,Synergized 4thgeneration conglomeration," $198,500.00 "," $123,040.00 ",failed,1482,AU,AUD,8/23/20,3/24/21,cat02,scat02
2821,2085,Clark Group,Grass-roots fault-tolerant policy," $4,800.00 "," $12,516.00 ",successful,113,US,USD,7/21/20,2/22/21,cat06,scat019
2468,1672,"White, Singleton and Zimmerman",Monitored scalable knowledgebase," $3,400.00 "," $8,588.00 ",successful,96,US,USD,7/23/20,1/18/21,cat04,scat04
656,4426,Kramer Group,Synergistic explicit parallelism," $7,800.00 "," $6,132.00 ",failed,106,US,USD,10/9/21,11/15/21,cat04,scat04
2791,3211,"Frazier, Patrick and Smith",Enhanced systemic analyzer," $154,300.00 "," $74,688.00 ",failed,679,IT,EUR,7/3/20,6/17/21,cat06,scat019
1527,3190,"Santos, Bell and Lloyd",Object-based analyzing knowledge user," $20,000.00 "," $51,775.00 ",successful,498,CH,CHF,8/5/20,5/15/21,cat07,scat012
1891,2081,Hall and Sons,Pre-emptive radical architecture," $108,800.00 "," $65,877.00 ",canceled,610,US,USD,11/22/20,12/5/21,cat04,scat04
580,3185,Hanson Inc,Grass-roots web-enabled contingency," $2,900.00 "," $8,807.00 ",successful,180,GB,GBP,3/14/21,8/29/21,cat03,scat03
682,5044,Sanchez LLC,Stand-alone system-worthy standardization, $900.00 ," $1,017.00 ",successful,27,US,USD,8/6/21,9/5/21,cat05,scat05
3097,1883,Howard Ltd,Down-sized systematic policy," $69,700.00 "," $151,513.00 ",successful,2331,US,USD,10/18/21,12/26/21,cat04,scat04
873,2067,Stewart LLC,Cloned bi-directional architecture," $1,300.00 "," $12,047.00 ",successful,113,US,USD,11/29/20,6/11/21,cat01,scat01
1668,4604,"Arias, Allen and Miller",Seamless transitional portal," $97,800.00 "," $32,951.00 ",failed,1220,AU,AUD,2/14/21,11/3/21,cat07,scat012
3076,3203,Baker-Morris,Fully-configurable motivating approach," $7,600.00 "," $14,951.00 ",successful,164,US,USD,8/23/20,2/6/21,cat04,scat04
3146,5758,"Tucker, Fox and Green",Upgradable fault-tolerant approach, $100.00 , $1.00 ,failed,1,US,USD,6/22/21,10/23/21,cat04,scat04
253,5755,Douglas LLC,Reduced heuristic moratorium, $900.00 ," $9,193.00 ",successful,164,US,USD,10/6/21,1/27/22,cat02,scat06
3088,5150,Garcia Inc,Front-line web-enabled model," $3,700.00 "," $10,422.00 ",successful,336,US,USD,9/18/20,8/18/21,cat03,scat09
393,4181,"Frye, Hunt and Powell",Polarized incremental emulation," $10,000.00 "," $2,461.00 ",failed,37,IT,EUR,5/10/21,8/3/21,cat02,scat06
2912,3006,"Smith, Wells and Nguyen",Self-enabling grid-enabled initiative," $119,200.00 "," $170,623.00 ",successful,1917,US,USD,7/9/21,10/15/21,cat02,scat08
478,4865,Charles-Johnson,Total fresh-thinking system engine," $6,800.00 "," $9,829.00 ",successful,95,US,USD,10/8/20,7/23/21,cat03,scat03
1061,2862,"Brandt, Carter and Wood",Ameliorated clear-thinking circuit," $3,900.00 "," $14,006.00 ",successful,147,US,USD,3/5/21,5/19/21,cat04,scat04
2957,6070,"Tucker, Schmidt and Reid",Multi-layered encompassing installation," $3,500.00 "," $6,527.00 ",successful,86,US,USD,5/7/21,12/28/21,cat04,scat04
2015,5300,Decker Inc,Universal encompassing implementation," $1,500.00 "," $8,929.00 ",successful,83,US,USD,10/14/20,7/23/21,cat05,scat05
1179,3486,Romero and Sons,Object-based client-server application," $5,200.00 "," $3,079.00 ",failed,60,US,USD,10/1/20,6/12/21,cat05,scat020
2568,5989,Castillo-Carey,Cross-platform solution-oriented process improvement," $142,400.00 "," $21,307.00 ",failed,296,US,USD,5/5/20,5/30/21,cat01,scat01
2869,2849,Hart-Briggs,Re-engineered user-facing approach," $61,400.00 "," $73,653.00 ",successful,676,US,USD,3/17/21,10/27/21,cat06,scat016
718,1612,Jones-Meyer,Re-engineered client-driven hub," $4,700.00 "," $12,635.00 ",successful,361,AU,AUD,10/24/20,4/12/21,cat03,scat03
1211,3307,"Wright, Hartman and Yu",User-friendly tertiary array," $3,300.00 "," $12,437.00 ",successful,131,US,USD,1/29/21,2/13/21,cat01,scat01
2431,5288,Harper-Davis,Robust heuristic encoding," $1,900.00 "," $13,816.00 ",successful,126,US,USD,7/2/21,12/31/21,cat03,scat09
468,6026,Barrett PLC,Team-oriented clear-thinking capacity," $166,700.00 "," $145,382.00 ",failed,3304,IT,EUR,3/20/21,4/16/21,cat06,scat014
1862,2212,David-Clark,De-engineered motivating standardization," $7,200.00 "," $6,336.00 ",failed,73,US,USD,9/2/21,12/31/21,cat04,scat04
2300,4591,Chaney-Dennis,Business-focused 24hour groupware," $4,900.00 "," $8,523.00 ",successful,275,US,USD,6/18/21,12/31/21,cat05,scat020
449,2771,"Robinson, Lopez and Christensen",Organic next generation protocol," $5,400.00 "," $6,351.00 ",successful,67,US,USD,10/7/20,10/17/21,cat08,scat015
283,5682,Clark and Sons,Reverse-engineered full-range Internet solution," $5,000.00 "," $10,748.00 ",successful,154,US,USD,7/27/21,11/1/21,cat05,scat05
2484,5368,Vega Group,Synchronized regional synergy," $75,100.00 "," $112,272.00 ",successful,1782,US,USD,4/15/21,10/8/21,cat07,scat021
1490,3706,Brown-Brown,Multi-lateral homogeneous success," $45,300.00 "," $99,361.00 ",successful,903,US,USD,6/21/20,4/14/21,cat07,scat012
186,4034,Taylor PLC,Seamless zero-defect solution," $136,800.00 "," $88,055.00 ",failed,3387,US,USD,5/21/20,1/28/21,cat06,scat014
2999,3209,Edwards-Lewis,Enhanced scalable concept," $177,700.00 "," $33,092.00 ",failed,662,CA,CAD,1/15/22,2/3/22,cat04,scat04
2819,2384,"Stanton, Neal and Rodriguez",Polarized uniform software," $2,600.00 "," $9,562.00 ",successful,94,IT,EUR,7/19/20,2/28/21,cat08,scat015
2105,3074,Pratt LLC,Stand-alone web-enabled moderator," $5,300.00 "," $8,475.00 ",successful,180,US,USD,5/10/20,5/2/21,cat04,scat04
1324,2031,Gross PLC,Proactive methodical benchmark," $180,200.00 "," $69,617.00 ",failed,774,US,USD,3/24/20,3/11/21,cat04,scat04
1952,5873,"Martinez, Gomez and Dalton",Team-oriented 6thgeneration matrix," $103,200.00 "," $53,067.00 ",failed,672,CA,CAD,3/3/21,6/16/21,cat04,scat04
2404,5501,Allen-Curtis,Phased human-resource core," $70,600.00 "," $42,596.00 ",canceled,532,US,USD,9/13/20,9/17/21,cat02,scat02
990,3489,Morgan-Martinez,Mandatory tertiary implementation," $148,500.00 "," $4,756.00 ",canceled,55,AU,AUD,3/23/21,12/6/21,cat01,scat01
1459,4210,"Luna, Anderson and Fox",Secured directional encryption," $9,600.00 "," $14,925.00 ",successful,533,DK,DKK,10/10/20,7/13/21,cat05,scat07
1106,6151,"Fleming, Zhang and Henderson",Distributed 5thgeneration implementation," $164,700.00 "," $166,116.00 ",successful,2443,GB,GBP,7/17/21,1/18/22,cat03,scat03
1488,6047,Flowers and Sons,Virtual static core," $3,300.00 "," $3,834.00 ",successful,89,US,USD,10/20/20,11/2/21,cat04,scat04
2107,5445,Gates PLC,Secured content-based product," $4,500.00 "," $13,985.00 ",successful,159,US,USD,7/9/20,5/18/21,cat02,scat022
2660,5493,Caldwell LLC,Secured executive concept," $99,500.00 "," $89,288.00 ",failed,940,CH,CHF,7/23/21,7/28/21,cat05,scat05
2647,6036,"Le, Burton and Evans",Balanced zero-defect software," $7,700.00 "," $5,488.00 ",failed,117,US,USD,12/25/20,12/2/21,cat04,scat04
565,2368,Briggs PLC,Distributed context-sensitive flexibility," $82,800.00 "," $2,721.00 ",canceled,58,US,USD,3/23/21,4/14/21,cat05,scat07
2713,1501,Hudson-Nguyen,Down-sized disintermediate support," $1,800.00 "," $4,712.00 ",successful,50,US,USD,4/7/20,2/14/21,cat06,scat010
558,4351,Hogan Ltd,Stand-alone mission-critical moratorium," $9,600.00 "," $9,216.00 ",failed,115,US,USD,5/10/21,12/17/21,cat07,scat021
698,3096,"Hamilton, Wright and Chavez",Down-sized empowering protocol," $92,100.00 "," $19,246.00 ",failed,326,US,USD,1/14/21,7/7/21,cat03,scat09
321,6162,Bautista-Cross,Fully-configurable coherent Internet solution," $5,500.00 "," $12,274.00 ",successful,186,US,USD,10/18/20,5/5/21,cat05,scat05
1302,1433,Jackson LLC,Distributed motivating algorithm," $64,300.00 "," $65,323.00 ",successful,1071,US,USD,5/7/20,3/21/21,cat03,scat03
1410,2720,Figueroa Ltd,Expanded solution-oriented benchmark," $5,000.00 "," $11,502.00 ",successful,117,US,USD,5/26/21,11/24/21,cat03,scat03
2465,5251,Avila-Jones,Implemented discrete secured line," $5,400.00 "," $7,322.00 ",successful,70,US,USD,12/3/20,11/25/21,cat02,scat08
377,1797,"Martin, Lopez and Hunter",Multi-lateral actuating installation," $9,000.00 "," $11,619.00 ",successful,135,US,USD,2/7/21,4/20/21,cat04,scat04
1882,1656,Fields-Moore,Secured reciprocal array," $25,000.00 "," $59,128.00 ",successful,768,CH,CHF,1/28/21,11/21/21,cat03,scat09
822,1346,Harris-Golden,Optional bandwidth-monitored middleware," $8,800.00 "," $1,518.00 ",canceled,51,US,USD,9/15/20,2/1/21,cat04,scat04
2730,2989,"Moss, Norman and Dunlap",Upgradable upward-trending workforce," $8,300.00 "," $9,337.00 ",successful,199,US,USD,8/21/21,11/15/21,cat04,scat04
2198,5629,"White, Larson and Wright",Upgradable hybrid capability," $9,300.00 "," $11,255.00 ",successful,107,US,USD,4/19/20,2/15/21,cat03,scat09
2757,3456,"Payne, Oliver and Burch",Managed fresh-thinking flexibility," $6,200.00 "," $13,632.00 ",successful,195,US,USD,9/8/20,4/16/21,cat02,scat08
2588,3229,"Brown, Palmer and Pace",Networked stable workforce, $100.00 , $1.00 ,failed,1,US,USD,1/21/21,7/11/21,cat02,scat02
1090,2277,Parker LLC,Customizable intermediate extranet," $137,200.00 "," $88,037.00 ",failed,1467,US,USD,12/2/21,1/12/22,cat02,scat06
64,1276,"Bowen, Mcdonald and Hall",User-centric fault-tolerant task-force," $41,500.00 "," $175,573.00 ",successful,3376,US,USD,11/13/20,7/23/21,cat02,scat08
2171,3694,"Whitehead, Bell and Hughes",Multi-tiered radical definition," $189,400.00 "," $176,112.00 ",failed,5681,US,USD,7/17/21,11/12/21,cat04,scat04
625,2260,Rodriguez-Brown,Devolved foreground benchmark," $171,300.00 "," $100,650.00 ",failed,1059,US,USD,1/29/21,6/20/21,cat02,scat08
1065,5374,Hall-Schaefer,Distributed eco-centric methodology," $139,500.00 "," $90,706.00 ",failed,1194,US,USD,5/23/21,7/29/21,cat04,scat04
174,4420,Meza-Rogers,Streamlined encompassing encryption," $36,400.00 "," $26,914.00 ",canceled,379,AU,AUD,11/24/20,12/26/21,cat02,scat02
1344,3849,Curtis-Curtis,User-friendly reciprocal initiative," $4,200.00 "," $2,212.00 ",failed,30,AU,AUD,4/20/21,10/14/21,cat08,scat015
2824,1638,Carlson Inc,Ergonomic fresh-thinking installation," $2,100.00 "," $4,640.00 ",successful,41,US,USD,12/28/20,11/24/21,cat02,scat02
940,5230,"Clarke, Anderson and Lee",Robust explicit hardware," $191,200.00 "," $191,222.00 ",successful,1821,US,USD,5/22/21,6/30/21,cat04,scat04
3024,1763,Evans Group,Stand-alone actuating support," $8,000.00 "," $12,985.00 ",successful,164,US,USD,4/26/21,7/14/21,cat03,scat09
2164,4323,Bruce Group,Cross-platform methodical process improvement," $5,500.00 "," $4,300.00 ",failed,75,US,USD,2/1/21,9/5/21,cat03,scat03
2427,5256,"Keith, Alvarez and Potter",Extended bottom-line open architecture," $6,100.00 "," $9,134.00 ",successful,157,CH,CHF,9/5/21,12/16/21,cat02,scat02
1548,4836,Burton-Watkins,Extended reciprocal circuit," $3,500.00 "," $8,864.00 ",successful,246,US,USD,8/1/20,8/15/21,cat08,scat015
2657,5981,Lopez and Sons,Polarized human-resource protocol," $150,500.00 "," $150,755.00 ",successful,1396,US,USD,11/14/21,11/24/21,cat04,scat04
2916,1463,Cordova Ltd,Synergized radical product," $90,400.00 "," $110,279.00 ",successful,2506,US,USD,5/5/21,8/8/21,cat03,scat03
1348,4577,Brown-Vang,Robust heuristic artificial intelligence," $9,800.00 "," $13,439.00 ",successful,244,US,USD,1/11/21,8/25/21,cat08,scat015
557,4951,Cruz-Ward,Robust content-based emulation," $2,600.00 "," $10,804.00 ",successful,146,AU,AUD,4/1/21,10/19/21,cat04,scat04
2915,3567,Hernandez Group,Ergonomic uniform open system," $128,100.00 "," $40,107.00 ",failed,955,DK,DKK,5/16/20,3/18/21,cat02,scat08
320,5475,"Tran, Steele and Wilson",Profit-focused modular product," $23,300.00 "," $98,811.00 ",successful,1267,US,USD,7/10/20,3/23/21,cat05,scat013
1458,2114,"Summers, Gallegos and Stein",Mandatory mobile product," $188,100.00 "," $5,528.00 ",failed,67,US,USD,9/24/20,7/27/21,cat02,scat08
379,5216,Blair Group,Public-key 3rdgeneration budgetary management," $4,900.00 ", $521.00 ,failed,5,US,USD,11/17/20,11/23/21,cat06,scat019
1879,1665,Nixon Inc,Centralized national firmware, $800.00 , $663.00 ,failed,26,US,USD,9/4/20,4/16/21,cat05,scat05
597,6051,White LLC,Cross-group 4thgeneration middleware," $96,700.00 "," $157,635.00 ",successful,1561,US,USD,3/21/21,10/17/21,cat04,scat04
1130,3983,"Santos, Black and Donovan",Pre-emptive scalable access, $600.00 ," $5,368.00 ",successful,48,US,USD,4/15/20,2/8/21,cat03,scat09
2354,2966,"Jones, Contreras and Burnett",Sharable intangible migration," $181,200.00 "," $47,459.00 ",failed,1130,US,USD,1/27/21,12/16/21,cat04,scat04
1358,4478,Stone-Orozco,Proactive scalable Graphical User Interface," $115,000.00 "," $86,060.00 ",failed,782,US,USD,1/6/21,5/6/21,cat04,scat04
188,4238,"Lee, Gibson and Morgan",Digitized solution-oriented product," $38,800.00 "," $161,593.00 ",successful,2739,US,USD,5/2/21,8/26/21,cat04,scat04
